Farm_ID,Crop,Region,Area_Hectares,Yield_Tons,Fertilizer_Used,Pesticide_Used,Irrigation
F0001,Corn,South,4.48,8.87,Potassium,None,No
F0002,Wheat,Central,31.92,8.85,Organic,None,Yes
F0003,Barley,Central,12.22,4.01,None,Insecticide,Yes
F0004,Soybean,East,45.37,2.0,None,None,No
F0005,Soybean,Central,43.12,8.42,Nitrogen,None,No
F0006,Rice,West,4.47,7.18,Organic,Fungicide,No
F0007,Corn,Central,12.66,6.31,None,Insecticide,Yes
F0008,Potatoes,West,33.78,9.88,Phosphorus,Fungicide,Yes
F0009,Corn,East,11.5,6.71,Potassium,None,Yes
F0010,Tomatoes,South,7.48,0.57,Nitrogen,Insecticide,Yes
F0011,Cotton,South,46.84,8.26,Organic,Fungicide,No
F0012,Wheat,Central,28.98,3.34,Nitrogen,None,Yes
F0013,Wheat,West,24.16,6.8,None,Herbicide,Yes
F0014,Corn,North,39.45,9.42,None,Fungicide,No
F0015,Soybean,North,40.57,1.78,Phosphorus,Insecticide,No
F0016,Soybean,North,10.33,1.6,Potassium,Fungicide,No
F0017,Potatoes,South,5.75,1.52,Organic,Fungicide,Yes
F0018,Tomatoes,South,22.12,5.76,Nitrogen,Fungicide,No
F0019,Wheat,West,21.76,3.09,Potassium,Herbicide,Yes
F0020,Potatoes,Central,23.88,6.25,None,Insecticide,No
F0021,Soybean,North,36.72,7.32,Potassium,Insecticide,No
F0022,Potatoes,West,33.99,2.43,Nitrogen,Insecticide,Yes
F0023,Cotton,West,49.22,6.53,Potassium,None,No
F0024,Soybean,Central,5.82,3.01,None,Insecticide,No
F0025,Sugarcane,West,20.73,5.14,Potassium,Insecticide,No
F0026,Tomatoes,Central,17.63,9.1,Organic,Herbicide,Yes
F0027,Barley,East,43.22,8.54,Potassium,None,No
F0028,Wheat,Central,13.18,1.38,Organic,None,Yes
F0029,Rice,North,10.32,4.52,Potassium,Fungicide,No
F0030,Cotton,North,22.98,3.13,None,None,No
F0031,Oats,Central,21.67,0.53,Phosphorus,None,No
F0032,Barley,East,14.65,7.83,Phosphorus,Herbicide,No
F0033,Rice,East,13.24,6.55,Organic,Insecticide,No
F0034,Soybean,North,46.24,2.99,Organic,None,No
F0035,Oats,East,22.71,7.54,Phosphorus,None,Yes
F0036,Corn,West,43.21,5.74,None,Herbicide,Yes
F0037,Corn,South,27.97,4.56,None,None,No
F0038,Cotton,West,3.48,0.59,Potassium,None,No
F0039,Corn,North,49.96,1.21,Organic,Herbicide,Yes
F0040,Oats,East,41.97,8.89,None,Fungicide,No
F0041,Oats,Central,48.48,9.09,Nitrogen,Fungicide,No
F0042,Tomatoes,South,46.39,5.68,Potassium,None,No
F0043,Barley,Central,42.59,8.43,Potassium,None,Yes
F0044,Wheat,North,9.15,6.03,Phosphorus,Insecticide,No
F0045,Sugarcane,East,24.8,1.91,Organic,None,No
F0046,Potatoes,Central,11.47,1.71,None,Insecticide,Yes
F0047,Corn,Central,20.65,3.43,None,Fungicide,No
F0048,Cotton,South,3.87,9.04,Potassium,None,Yes
F0049,Corn,South,19.57,8.06,Organic,None,No
F0050,Potatoes,East,49.28,8.68,Organic,Herbicide,No
F0051,Barley,South,13.99,9.04,Organic,None,No
F0052,Tomatoes,Central,39.42,2.5,Phosphorus,Fungicide,No
F0053,Oats,Central,23.3,2.87,None,None,No
F0054,Tomatoes,North,21.73,1.48,Organic,Insecticide,Yes
F0055,Soybean,Central,47.91,7.91,Phosphorus,None,Yes
F0056,Corn,East,49.78,8.9,Nitrogen,Insecticide,Yes
F0057,Wheat,West,28.23,4.36,Potassium,Herbicide,Yes
F0058,Soybean,North,36.2,6.4,None,None,No
F0059,Barley,North,8.59,1.97,None,Herbicide,No
F0060,Corn,East,15.54,9.33,Potassium,Herbicide,Yes
F0061,Soybean,East,48.47,8.71,Nitrogen,None,No
F0062,Corn,South,29.38,9.77,Phosphorus,Insecticide,No
F0063,Cotton,North,27.57,8.2,Potassium,None,No
F0064,Barley,South,37.65,8.87,Phosphorus,Insecticide,Yes
F0065,Sugarcane,Central,3.8,0.74,Phosphorus,Herbicide,Yes
F0066,Oats,North,29.62,7.5,Phosphorus,Fungicide,No
F0067,Rice,North,25.64,3.66,Nitrogen,None,Yes
F0068,Oats,West,42.78,9.34,Nitrogen,Fungicide,No
F0069,Oats,North,8.71,8.12,Phosphorus,Insecticide,Yes
F0070,Soybean,Central,48.08,8.71,Organic,None,No
F0071,Barley,South,4.93,8.2,None,Fungicide,No
F0072,Corn,South,10.11,3.03,Nitrogen,Fungicide,No
F0073,Tomatoes,West,30.16,7.98,Organic,None,No
F0074,Rice,Central,34.09,1.53,Organic,Fungicide,No
F0075,Potatoes,South,12.52,8.79,None,None,No
F0076,Soybean,East,6.87,8.66,Phosphorus,Fungicide,No
F0077,Rice,Central,44.62,2.61,Organic,Herbicide,No
F0078,Sugarcane,Central,13.06,8.26,Organic,None,No
F0079,Cotton,West,30.13,4.87,Organic,Herbicide,No
F0080,Barley,South,31.35,3.4,Phosphorus,Herbicide,No
F0081,Potatoes,Central,21.54,8.06,Phosphorus,Fungicide,Yes
F0082,Soybean,South,29.6,2.66,Nitrogen,Insecticide,Yes
F0083,Oats,East,26.62,0.72,Nitrogen,Herbicide,Yes
F0084,Wheat,West,46.8,2.33,Organic,Herbicide,No
F0085,Soybean,East,11.01,3.62,Phosphorus,Herbicide,Yes
F0086,Wheat,West,36.09,8.71,Phosphorus,Insecticide,Yes
F0087,Oats,Central,12.7,9.69,None,Insecticide,Yes
F0088,Cotton,West,20.39,3.15,Organic,Herbicide,Yes
F0089,Barley,North,33.91,6.59,Nitrogen,Insecticide,No
F0090,Corn,South,15.7,4.3,None,Insecticide,No
F0091,Soybean,South,16.49,9.82,Phosphorus,Insecticide,No
F0092,Tomatoes,North,37.84,5.59,Nitrogen,None,Yes
F0093,Oats,East,4.55,9.42,Organic,Herbicide,Yes
F0094,Soybean,North,23.46,1.6,Phosphorus,Insecticide,No
F0095,Sugarcane,Central,49.92,9.72,Organic,None,Yes
F0096,Cotton,Central,49.81,2.2,None,Fungicide,No
F0097,Sugarcane,South,4.59,9.64,None,Fungicide,Yes
F0098,Rice,Central,11.44,3.02,None,Insecticide,No
F0099,Barley,South,13.99,1.53,Potassium,Herbicide,Yes
F0100,Rice,North,46.73,4.63,Organic,Insecticide,Yes
